record_id,bibkey,outcome,source,note
CAND-2111,CAND-2111,not-retrieved,,no OA source
CAND-2125,CAND-2125,not-retrieved,,no OA source
CAND-2132,CAND-2132,not-retrieved,,no OA source
CAND-2136,CAND-2136,fetched,oa_pdf_url,overlap=1.00
CAND-2137,CAND-2137,not-retrieved,,no OA source
CAND-2139,CAND-2139,not-retrieved,,no OA source
CAND-2172,CAND-2172,not-retrieved,,no OA source
CAND-2177,CAND-2177,not-retrieved,,no OA source
CAND-2194,CAND-2194,not-retrieved,,no OA source
CAND-2197,CAND-2197,not-retrieved,,no OA source
CAND-2215,CAND-2215,not-retrieved,,no OA source
CAND-2229,CAND-2229,not-retrieved,,no OA source
CAND-2245,CAND-2245,fetched,oa_pdf_url,overlap=1.00
CAND-2246,CAND-2246,not-retrieved,,no OA source
CAND-2272,CAND-2272,fetched,oa_pdf_url,overlap=1.00
CAND-2279,CAND-2279,not-retrieved,,no OA source
CAND-2290,CAND-2290,not-retrieved,,no OA source
CAND-2306,CAND-2306,not-retrieved,,no OA source
CAND-2339,CAND-2339,not-retrieved,,no OA source
CAND-2356,CAND-2356,not-retrieved,,no OA source
CAND-2378,CAND-2378,not-retrieved,,no OA source
CAND-2383,CAND-2383,fetched,oa_pdf_url,overlap=1.00
CAND-2384,CAND-2384,fetched,oa_pdf_url,overlap=1.00
CAND-2387,CAND-2387,not-retrieved,,no OA source
CAND-2396,CAND-2396,not-retrieved,,no OA source
CAND-2397,CAND-2397,not-retrieved,,no OA source
CAND-2400,CAND-2400,fetched,oa_pdf_url,overlap=1.00
CAND-2427,CAND-2427,fetched,oa_pdf_url,overlap=1.00
CAND-2433,CAND-2433,fetched,oa_pdf_url,overlap=1.00
CAND-2449,CAND-2449,not-retrieved,,no OA source
CAND-2461,CAND-2461,fetched,oa_pdf_url,overlap=1.00
CAND-2463,CAND-2463,not-retrieved,,no OA source
CAND-2465,CAND-2465,not-retrieved,,no OA source
CAND-2492,CAND-2492,fetched,oa_pdf_url,overlap=1.00
CAND-2506,CAND-2506,not-retrieved,,no OA source
CAND-2508,CAND-2508,not-retrieved,,no OA source
CAND-2516,CAND-2516,not-retrieved,,no OA source
