sid,bibkey,record_id,title_abbrev,year,venue_abbrev,venue_type,primary_topic,qa,phases
S40,Zhang2021Sec,CAND-3233,Integrity Authentication for SQL Query Evaluation on Outsourced…,2021,IEEE TKDE,journal,Security/Privacy,7.5,Operate
S41,Glake2022MultiModel,CAND-4791,Towards Polyglot Data Stores -- Overview and Open Research Ques…,2022,arXiv,arxiv,Multi-Model DBs,6.5,Design;Optimize
S42,Harby2022Lakehouse,,From Data Warehouse to Lakehouse: A Comparative Review,2022,IEEE BigData,conference,Data Lakehouse,6.5,Design;Deploy
S43,Shareef2022NoSQL,CAND-M-004,A Survey of Comparison Different Cloud Database Performance: SQ…,2022,Passer J.,journal,NoSQL/NewSQL,7,Design;Deploy;Operate;Optimize
S44,Zhou2022AI4DB,,Database Meets AI: A Survey,2022,IEEE TKDE,journal,AI4DB/Learned Opt.,8,Optimize;Evolve
S45,Ahmed2023DistDB,CAND-4927,Consistency issue and related trade-offs in distributed replica…,2023,Radioelectron. Comput. Syst.,journal,Distributed DBs,7,Design;Operate;Optimize
S46,Besta2023GraphDB,CAND-4953,Demystifying Graph Databases: Analysis and Taxonomy of Data Org…,2023,ACM Comput. Surv.,journal,Graph Databases,8,Design;Operate;Optimize
S47,Ferreira2023NoSQLMD,CAND-5089,Multidimensional Modelling in NoSQL Database : A Systematic Rev…,2023,CISTI,conference,NoSQL/NewSQL,7.5,Design
S48,Guo2023MultiModel,CAND-5090,Multi-model query languages: taming the variety of big data,2023,Distrib. Parallel Databases,journal,Multi-Model DBs,7.5,Design;Optimize
S49,Khan2023NoSQL,CAND-5175,SQL and NoSQL Database Software Architecture Performance Analys…,2023,Big Data Cogn. Comput.,journal,NoSQL/NewSQL,8,Design;Deploy;Optimize
S50,Koppenwallner2023Sec,CAND-4873,A Survey on Property-Preserving Database Encryption Techniques …,2023,arXiv,arxiv,Security/Privacy,6.5,Design;Operate;Optimize
S51,Ma2023VectorDB,CAND-4818,A Comprehensive Survey on Vector Database: Storage and Retrieva…,2023,arXiv,arxiv,Vector Databases,7.0,Design;Optimize;Operate
S52,Tian2023GraphDB,CAND-5206,The World of Graph Databases from An Industry Perspective,2023,ACM SIGMOD Rec.,journal,Graph Databases,7.5,Design;Operate;Optimize
S53,Vikiru2023DBaaS,CAND-M-001,An Overview on Cloud Distributed Databases for Business Environ…,2023,arXiv,arxiv,DBaaS,6,Design;Deploy;Operate;Optimize
S54,Woltmann2023DNNIndex,,Learned Index: A Comprehensive Experimental Evaluation,2023,PVLDB,journal,AI4DB/Learned Opt.,7,Optimize
S55,Anuyah2024GraphDB,CAND-5735,Understanding Graph Databases: A Comprehensive Tutorial and Sur…,2024,arXiv,arxiv,Graph Databases,6,Design;Optimize
S56,Falcao2024Bench,CAND-5445,Energy Consumption and Performance Evaluation of Multi-Model No…,2024,R. Inform. Teor. Apl.,journal,Benchmarking,7,Design;Optimize
S57,Gao2024RAGSurvey,,Retrieval-Augmented Generation for LLMs: A Survey,2024,arXiv,arxiv,NL/LLM-Database,7,Deploy;Operate
S58,Gomes2024EdgeFog,,Databases in Edge and Fog Environments: A Survey,2024,ACM Comp. Surv.,journal,Edge/Fog DBs,7.5,Design;Deploy;Operate
S59,Haas2024HTAPSurvey,,HTAP Databases: A Survey,2024,arXiv,arxiv,HTAP Systems,6.5,Design;Operate;Optimize
S60,Janssen2024Lakehouse,CAND-5706,The evolution of data storage architectures: examining the secu…,2024,J. Data Inf. Manag.,journal,Data Lakehouse,7.5,Design;Operate;Evolve
S61,Li2024CloudNativeSurvey,,Cloud-Native Databases: A Survey,2024,IEEE TKDE,journal,Cloud-Native Arch.,8,Design;Deploy;Operate;Optimize
S62,Mishra2024NoSQL,CAND-5309,"A survey of LSM-Tree based Indexes, Data Systems and KV-stores",2024,IEEE SCEECS,conference,NoSQL/NewSQL,7.5,Design;Optimize
S63,Nurhadi2024AI4DB,CAND-5323,A Systematic Review of Automated Classification for Simple and …,2024,Comput. Syst. Sci. Eng.,journal,AI4DB/Learned Opt.,7.5,Optimize;Operate
S64,Pan2024VectorDB,,Survey of Vector Database Management Systems,2024,VLDB Journal,journal,Vector Databases,7.5,Design;Deploy;Optimize
S65,Pohl2024LakehouseTS,,Data Lakehouse for Time Series Data: An SLR,2024,IEEE BigData,conference,Data Lakehouse,6.5,Design;Operate
S66,Santos2024GraphDB,CAND-5413,Data Modeling for Connected Data -- A systematic literature rev…,2024,arXiv,arxiv,Graph Databases,7,Design;Evolve
S67,Solat2024DistDB,CAND-5677,Sharding Distributed Databases: A Critical Review,2024,arXiv,arxiv,Distributed DBs,6,Design;Operate;Optimize
S68,Song2024HTAP,CAND-5317,A survey on hybrid transactional and analytical processing,2024,VLDB J.,journal,HTAP Systems,7.5,Design;Optimize
