record_id,bibkey,outcome,source,note
CAND-S-001,CAND-S-001,not-retrieved,,no OA source
CAND-S-002,CAND-S-002,not-retrieved,,no OA source
CAND-S-003,CAND-S-003,not-retrieved,,no OA source
CAND-S-004,CAND-S-004,not-retrieved,,no OA source
CAND-S-005,CAND-S-005,fetched,unpaywall,overlap=1.00
CAND-S-006,CAND-S-006,not-retrieved,,no OA source
